"","year","fips","leaid","enr_lep","enr_all","psenr_lep","psenr_all","ratio_lep"
"1",2017,"Alabama","",86,1085,-16,34,0.0792626728110599
"2",2017,"Alabama","0100002",1,249,-6,-6,0.00401606425702811
"3",2017,"Alabama","0100005",1009,5444,-10,117,0.185341660543718
"4",2017,"Alabama","0100006",382,5698,-14,183,0.067041067041067
"5",2017,"Alabama","0100007",2335,14369,-23,34,0.162502609784954
"6",2017,"Alabama","0100008",499,10804,-18,205,0.0461865975564606
"7",2017,"Alabama","0100009",6,401,0,24,0.0149625935162095
"8",2017,"Alabama","0100011",176,2027,-6,140,0.0868278243709916
"9",2017,"Alabama","0100012",239,2378,-8,78,0.100504625735913
"10",2017,"Alabama","0100013",42,4558,-7,59,0.00921456779289162
"11",2017,"Alabama","0100018",0,295,-2,-2,0
"12",2017,"Alabama","0100019",0,56,0,56,0
"13",2017,"Alabama","0100020",0,6,-2,-2,0
"14",2017,"Alabama","0100021",0,97,0,17,0
"15",2017,"Alabama","0100022",0,42,-2,-2,0
"16",2017,"Alabama","0100023",0,54,-2,-2,0
"17",2017,"Alabama","0100024",0,35,-2,-2,0
"18",2017,"Alabama","0100026",0,39,-2,-2,0
"19",2017,"Alabama","0100030",89,3032,-7,60,0.029353562005277
"20",2017,"Alabama","0100035",0,113,-2,45,0
"21",2017,"Alabama","0100038",0,164,-2,-2,0
"22",2017,"Alabama","0100039",0,34,-2,-2,0
"23",2017,"Alabama","0100041",11,59,-2,-2,0.186440677966102
"24",2017,"Alabama","0100044",0,67,-2,-2,0
"25",2017,"Alabama","0100060",19,1773,-4,75,0.0107163000564016
"26",2017,"Alabama","0100090",36,2050,-12,-12,0.0175609756097561
"27",2017,"Alabama","0100100",21,2603,-6,98,0.00806761429120246
"28",2017,"Alabama","0100120",431,4499,-14,54,0.0957990664592132
"29",2017,"Alabama","0100178",0,252,-4,-4,0
"30",2017,"Alabama","0100180",40,1506,-4,32,0.0265604249667995
"31",2017,"Alabama","0100183",0,75,-2,-2,0
"32",2017,"Alabama","0100184",0,1,-2,-2,0
"33",2017,"Alabama","0100185",66,3086,-6,1,0.0213869086195723
"34",2017,"Alabama","0100188",11,1160,-4,53,0.00948275862068966
"35",2017,"Alabama","0100189",2,1457,-2,34,0.00137268359643102
"36",2017,"Alabama","0100190",507,6064,-3,65,0.0836081794195251
"37",2017,"Alabama","0100194",400,3206,-8,-8,0.124766063630692
"38",2017,"Alabama","0100195",214,1609,-2,18,0.133001864512119
